input,target,id
extract maximum weight recommendation: PATIOFY Dimensions COMFORT AT YOUR DOOR STEP 120 Height Kgs 152 Cms Weight Holding 60Inches Capaci ty Lenght 61 Cms Width 64 Cms 24Inches 25 Inches,120 kilogram,21
extract volume: -10 Litre 6.97 Litre - MILTON MILTOT MILTO MIIO MITN 4.86 Litre ,4.86 litre,22
extract volume: MarieLiant 1155 Bounce.R,9.0 litre,23
extract weight: INGS NOTA DPORTIONS  SERVINGS PORTIONS BIOSUVEZER 100 BIOSTINKWOA BIOSTEEKMOR 00 100 100PORTIONS NG N REE BIOSTEEL HYDRATION MIX NATURAL HEALTH PRODUCT 100 SERVINGS CERTIFIED NSF.  peach mango. SPORT fla vour 700 g P0WDER I NPN 80094017,700.0 gram,24
"extract weight: serving % Daily Value* The %Daily Facts Total Fat 17g 22% Total Carbohydrate 18g Saturated Fat 4g 20%  Dietary Fiber 2g 7% Serving Size: 1 bar (60g) Trans Fat 0g Total Sugars 14g 2,000 caories Cho lesterol Omg 0% Includes 10g Added Sugars20% Sodium30mg 1%Protein 16g Calories 270 per servin g Vitamin D 0mcg 0%  Calcium 56mg 4%  Iron 1mg 6%  Potassium 79mg 2% Ingredients: Natural Peanut B tives added Mann c    m gg Fodrazing MANEFASTUROR 8A5RAUSCH43064",60.0 gram,25
"extract voltage: PRODUCT SPECIFICATION 9.84"" 10.98"" MAX59 "" Turnable screw cable lock Adjust the hanging le ngth freely. TECHNICAL DETAILS Voltage : 90 - 130V Wattage : 15W Color Temperature: 3000K Material  : Aluminum & K9 Crystal 9.25 Lumen : 1200lm Life Time: 50000 hours Light source:. LED Perfe cafe, aisle, kitchen, restaurant, clothing store, 3.94"" shopping mall,and etc","[90.0, 130.0] volt",26
extract depth: ZINC ALLOY WINDPROOF LIGHTERE Length: 6.3IN 0.5mm nm 1 2 3 4 5 6 7 8 9 10111213141516 nm,6.3 inch,27
"extract wattage: 20""36V250W Front wheel Front fork Brushless open size: toot hed motor 100mm",250.0 watt,28
extract voltage: E26 Bub Base Maxwattage:60W Voltage:110V-240V Light bulb is not included,"[110.0, 240.0] volt",29
extract voltage: RGBLED LED CONTROLLER Output: 3x2A + 5V OFF ON W R G B FLASH STROBE FADE SMOOTH,5.0 volt,30
"extract wattage: FLAME ESSENTIAL OILS AROMATHERAPYDIFFUSER 4G 17CM/6.69IN 3.33 .3CM/2.9IN Sunday,September 15 Jeebel 1 0CM/3.9IN 14.6CM/5.7IN 3CM/1.18IN Swipe.upto oper 7.1CM/2.80IN Input:5V/2A Rated Power:4.5W Tank Capa city:180ml & fixed color modes Charging Interface:Type-C C olor:7 color flame light Material:ABS,PP,Electronic comp",4.5 watt,31
extract weight: necessary NO ADDED SUGAR Fillers INSTANT SOLUBLEE 100%PROTEIN FROM WHEY STRAWBERRY FLAVOUR NET WEIGHT 1Kg(2.20lbs) nakpro.com,2.2 pound,32
extract weight: hangeovertime Mimickingthe rising run White noise 18:0.0 R GOB 16million colors 9 Ocean Wave Bird Ala rm 18:0.0 Snooze Onatural Osounds Auxiliary sleep Piano Ins o Multi color light Digital time display Dimension165mm 170mm 75mm Pgroduct Name:Wake up lamp Model:K 8 Input:5V2A Weight : 350g FCCE ROHS  18:0.0,350.0 gram,33
extract voltage: It is Recommended to Install a Clip Every 10 Inches DC12U,12.0 volt,34
extract maximum weight recommendation: 945 tt OFFICEPINS,3.0 microgram,35
extract wattage: E26 X 3 Max 6Ow 78.8in 6.3in 8.28in,60.0 watt,36
extract width: 27.5cm 17.5cm 4.5cm Color random 8cm 8cm,27.5 centimetre,37
extract width: 20cm 28.5cm,28.5 centimetre,38
extract wattage:  NGFFM-keyNVME SSD FCCE Not work NVME SSD to SATA 2 SATA FCCE Mainboard NGFF B/M-keySATA SSD,2.0 watt,39
extract weight: POP! THE NOTORIOUS 162 B.I.G ROCKS Funko LIMITED EDITION WITH CROWN NOTO,162.0 gram,40
extract maximum weight recommendation: RESISTANT 300 KG 38 cm 38 cm 38 cm,300 kilogram,41
"extract wattage: roduct parameters Item Name Puddypear Item No H-L-16 Material ABS+Silica gel Capacity 1200mAh Rated v oltage 5V/1A Rated Power 4W Light colour 2600k~3100k Manufacturer Xiamen Fei Rong Household Products  Co. Address Unit 402,No 65Haijing South Road Xiamen,China (Fujian) Pilot Fre",4.0 watt,42
"extract volume: ROSEMARY Supplement Facts Serving Size:0.7ml Servings:84 Amount Per Serving %DV Extract from : Rosemary 0.7 ml (Rosmarinus Officinalis) Dried Leaf Daily Valu e DV not established 333 mg/ml Herb Equivalent Menstruum Ratio 1:3 ZERO:AR GS ORDAIRY Other Ingredients: Vegetable Glycerin (50-60%),distilled water SUGGESTED USE Mix 0.7 ml 30  drops with 2 fluid ounces of water or your favorite juice 1 to  3 times a day",2.0 fluid ounce,43
extract width: 20cm 45cm17.7 14 cm Product Features: Features:table and chair 2 C se: Can be clipped desktop thickness:no more than 4CM Chair chair armrest width:no more than7CM Chair  chair armrest thickness:no more than 5CM,17.7 inch,44
extract maximum weight recommendation: Size Chart For medium dog XL:32*24*7.2 in Up to 35 lbs For large dog Up to 55 lbs XXL:35.4*27.6*6.7i n For jumbo dog Up to 95 lbs XXXL:43.3*35.4*9 in,95 pound,45
extract depth: 4.17 in 2.95 in,4.17 inch,46
extract maximum weight recommendation: Assembled Weight:Approx.2olbs Folded 5-Levels When fold the trampoline Height Adjustable  you need to remove the 38in-46in handrail and legs Max Load:330pounds 10.2in 40i,330 pound,47
"extract maximum weight recommendation: 34cm (13,4"") 34cm (13,4"") natilud Strength up to 25 kg (55 LBS)",25 kilogram,48
extract depth: 14cm 5cm 7.5cm,7.5 centimetre,49
extract volume: WARMT UND RUHLT Warmt Lebensmittel bis zu 6 Stunden und kuhlt bis zu12Stunden 7 cm GROBEOFFNU NG 7 cm Groe Offnung zum einfachen Essen und Reinigen  TIFUNKTIONSDECKEL Deckel kann als Schussel oder O.62L Tasse verwendet werden,0.62 litre,50
extract depth: 17.5cm 19cm 12cm 31cm,31.0 centimetre,51
extract depth: 40cm 7cm 10.5cm 16cm Material: space aluminum + dust-free constant t,40.0 centimetre,52
extract maximum weight recommendation: olding PATIOFY Capacity COMFORT AT YOUR DOOR STEP 200 KG Sitting Space 22x22 Inches Back Support Full  Height Height 173Cm/68 36 Cm/14 Inches Inches Breadth 99 Cm/39 Inches,200 kilogram,53
extract voltage: LED STRIP 365 days SAFETY RGB LEDSTRIP COMBO 12V/24VSMD3528/5050LEDStrip URS+LOW-CARBONGREEN DIY4 DIY,24.0 volt,54
extract weight: tti rossi Miscela di te nero aromatizzata Te ner (69%) scorze darancia Mandorle a Ingredienti fragola,2.5 gram,55
extract wattage: H:120cm D:100cm Color:Gold Light Source:LED-45W Material:Iron Space:10-18m2,45.0 watt,56
extract voltage: ON A 20 400500 GLX 300 10 200GLX KK-120 A.METER OFF V.METER SINGLE PHASE SUBMERSIBLE PANE L TYPE:EMCB START CAP RUN.CAP f440V AC EXTRA START P N ON Y R POWER SUPPLYE PUMP CON,250.0 volt,57
extract depth: RUBBERTHRESHOLD RAMP TRP60RMP W: 1000mm 60mm 1 600mm,1000.0 millimetre,58
extract voltage: FESTOOL TS 55 FEBQ160 mm 1200w.2000-5800 min 50-60Hz 220-240V T-Nr.2048252019-09 STO S-Nr.40298627 F estool GmbH Wertstr.20 D-73240Wendlingen dein Germany,"[220.0, 240.0] volt",59
"extract width: 11118 PACKAGE LIST 6.7"" 8.7"" 1 4.8"" 10.3"" 59""",6.7 inch,60
"extract wattage: PRODUCT DIMENSION 21.66"" Flat ceiling Adjustable Sloped ceiling Max:47.25 "" 2.37 4.7 27.56"" Input Voltage: 110V AC E26 BULB MAX 40W Wattage: Up to40W each Compatible wi te Lacquered Material: Wood & Aluminum Bulb Base E26 Cable Length: 47.25""Adjustable BULBS ARE NOT INC",40.0 watt,61
extract height: 7cm/2.8inch 16cm/6.3inch 5.7cm/2.2inch The patterns on each case will be varied.,5.7 centimetre,62
extract depth: e L Do not Dora  g stop sa Stop at one of C- them 9 A slight S Cprss uu pause Soneneder Stop etsfaasu rsGe ag 03. 15 Qsiybaag engy uset ar Sgrafiuratse 104 Gigb,15.0 inch,63
extract height: Size Information 4.5 inches/11.5 cm 5.5 inches/14 cm inches/2.5 cm 4.3 inches/11 cm 4.3 inches/11 c m 3.2 inches/8.2 cm,4.3 inch,64
"extract voltage: Light source:LED LED Number of LEDs:20pcs (white light.warm light) LED life:more than 80 .000 hours LED brightness:350 lumens Light colorwhite light.warm light Working  current60 mA Working voltage:DC3.7V Lithium battery:600mAh(A product battery.suffici ent Battery usage:charge up to 500 times The number of times the battery is fully ch arged:more than 600times The operating temperature of the lamp:-10-50 C Product:PIR SENSOR LED CABINET LIGHT Model:SYH070 Brand:Maxuni Manufacturer: Shenzhen Shengyihe Ind ustry Co.,Ltd Address: Room 502#,1 Building.Debao InstrialArea,Bantian Street,Longga  Tech Support:maxuniservice@gmail.com REP Brebmst.56.40239 DussedorGeany Emal. eu Geuins.eu R Telefon  +4921131054698 8- OPBCLTD UK REP The Moda Centre 7 Nohuf West Yotkshire HD1 tRL UK Ema info@www.opbo gmbh.com MADE IN CHINA Telefon.+4407743055154",3.7 volt,65
"extract height: 171cm-184cm 0,5cm 25cm",171.0 centimetre,66
extract maximum weight recommendation: Hold up to 100 kg,100 kilogram,67
extract volume: O FLUIDO El Extracto Fluido Concentrado frente al 30 m resto de formatos del mercado:. Para concentra,30.0 millilitre,68
extract weight: ivo  MUNA LEAVES / DIGESTIVE AID mung leaves muna 100% Natural ibre de cafeina 25 The nature's secret s for your health Filtrantes Tea Bags NET WT. 25 bag/0.87oz,1.0 gram,69
extract maximum weight recommendation: ric Shock- Anti-Bite and pull-resistant withstand 30 kgs of pull force Eliminate fire hazards Built-i,30 kilogram,70
extract weight: SIZE&DETAILS OF 0.47in/12.1mm 0.95in/24.6mm 0.18in/4.6mm IN GODWE TRUST LIBERTY 0.54in/13.8mm 0.95 in/24.6mm Material: S925 SILVER CRAFT Weight: 3g/0.10oz Exquisite multi-color zircon Series: Beads (,3.0 gram,71
extract voltage: k body is made of plastic coated by silver paint. 1*AA battery (Not included) NO/OFF 3.3ft 20 Ied bul,1.5 volt,72
extract wattage: ML9,67.0 watt,73
extract height: X 17cm/ 6.68in 5cm/ 1.97in,6.68 inch,74
extract width: Fujitsubo Pock 20 FIN B53 No. HH H HH Fujitsubo-Pack H3 [] B53 19197mm 85g. m B5 []PK8 3 257mm 20,197.0 millimetre,75
extract height: 5.9inch/15cm 1.2inch/3cm(Thick 11.8inch/30cm,30.0 centimetre,76
extract maximum weight recommendation:  Colour Black/Green Maximum Weight Recommendation 150.0 Kilograms,150 kilogram,77
"extract depth: LargeVolume can hold up to50 lbs 5 15.8"" 4 15",15.0 inch,78
"extract depth: CARD SIZE 5 X 7 INCHES 5 INCHES ABABY IS 7 INCHES BREWING Join us for a baby shower honoring  ASHLEYBRADBERRY Saturday, October 10th 11:00am Witches Brew Cafe 123 Main Street Tampa,Florida :Jennifer Bradberry & Lynn Daniels RSVP to Lynn at813555-1234 Registered at Target and Amazon",7.0 inch,79
extract width: SIZE 2.9cm/1.14in 1.5cm/0.59in 4.5cm/1.77in 4.3cm/1.69in,4.3 centimetre,80
extract volume: BRAND NAME AND DOES NOT REPRESENTITS TRUE NATURE l901052020485 -,19.0 millilitre,81
extract weight: 25G 0 REAL PROTEIN SUGAR BLACK TEA BOBA TEA PROTEIN VER S-FED WHEY PROTEIN POWDER CLASSIC MILK TEA NET WT.25.8 OZ 1.61 LBS)(731.5 GRAMS),25.8 ounce,82
extract height: 118cm 80cm 12cm,118.0 centimetre,83
"extract weight: Up Pouch ATFE TOUGHLYBUILT Specs Exterior Fabric: 500D Nylon Interior Fabric: Polyurethane Weight: 70 Z 10.0"" 5.5"" 4.0"" 6.5""",7.0 ounce,84
extract wattage: SHOCK PEN TION IROCUTION VRIR B FRONT HEIGHT/WIDE 220-230V ACK/ZONE2 R c0/60Hz 550W L(Single) HINA MA  HINE ABRIQD 133251 SERIAL NO NUA OIRLEMODE D'EMPLO SELECTABLE,550.0 watt,85
extract weight: 1924 MG4 MG4 MG4 MG4,4.0 milligram,86
"extract volume: n mange mites,other mites and roundworms for up to4 weeks Effective against lice, fleas,",199071.0 decilitre,87
extract height: Power: 5 W Input: AC85-265V 8cm / 3 in 41cm / 16 in 9cm / 3.5 in,9.0 centimetre,88
"extract maximum weight recommendation: KG Extends upto Can withstand 70"" inches upto 5 KG weight No Tools Easy hassle required free inst",5 kilogram,89
extract maximum weight recommendation: e With Chrome Finish Easily Withstand Weight Upto-12O kg Heavy Duty Nylon Castor Wheels Class 4 Gas L,120 kilogram,90
extract depth: 150mm 420mm,420.0 millimetre,91
extract depth: 1.8cm/0.7in 3.3cm/1.3in 16cm/6.3in 10cm/3.9in 4cm/1.6in,16.0 centimetre,92
extract weight: 100% ena NATURAL SELECTION REAL CHICKEN CATAHOLIC FOR  HEALTHY SKIN OHICKEN&ISH 30g AND A SHINY COAT.,30 gram,93
extract voltage: PRODUCTDETAILS 9.06in 4.92in 11.42in 5.7in Bulb Included) 4.53in 4.53in Technical Details  Material: Aluminum &Tempered Glass Input Voltage: 120V Power Source : Corded-Electric Installation Ty pe Wall Mount Bulb : 120V/6W Bulb Base: E26,120.0 volt,94
extract width: 3.5 in/9.0cm Merrpt nrisimas 6.2 in/16 cm,3.5 inch,95
extract voltage: nd NOT S en DP33200417009002,12.0 volt,96
extract depth: 90cm 300cm,300.0 centimetre,97
"extract width: ing: the light actual hole size of your home The ""8in"" in the title of this product is the approximat e hole size, the actual size of the lamp is 8.7in. 8 - 8.2"" 6.1"" (Hole size) 0.7' (Hole size) 0 8 .7"" (Ring size"") 6.69"" (Ring size"") 6.89"" 5.0"" 8in recessed light 6in recessed light",8.0 inch,98
"extract maximum weight recommendation: Fabric Upgraded (s7 update to s8) Increase the thickness of the fabric, making the  bag more. durable. Hooks Upgraded (4pcs update to 6pcs) Higher quality hooks are used.  6 hooks are included for free 6 pcs Hooks",6.0 ton,99
extract wattage: t hangt von der Ausgangsspannung Ihres Gerats ab) 10:46 ECO 74% km/h A 20.5 75% Charged TA Eingangssp annung:5V Eingangsstrom:2A Leistung:10w,10.0 watt,100
extract volume: SIDDHAYU REIMAGINING AYURVEDA Step3 1teaspoon Step2 ghee Step4 1cup warm/cold Sweeten milk (of choice ) totaste Step1 Step5 1teaspoon Whisk well Turmeric Yogue before drinking  Baidyanath 10O years of caring,1.0 cup,101
extract wattage: Plug is compatible with all MagSafe adapters like 85w/87w/65w/61w/45w/30w/29w etc.You can use it in a,85.0 watt,102
"extract height: 6.3 "" 7.9 "" 10.2 "" 69.7 "" 13.8 "" 12 15.7 """,69.7 inch,103
extract width: 10.5cm 11cm,11.0 centimetre,104
"extract volume: SOURCE ontre 6x1,5L",1.5 litre,105
extract voltage: 173FT 500LED UPGRADED STRING L GHTS Super Long String Light s OL588 Certification & 30V Low Voltage 8 Lighting Modes IP 44 Waterproof Super Bright LED ,30.0 volt,106
extract volume: ARSHEGE Y 2iK RE GOLD Beauty TMENT ARSHEGL 24K GOLD E TREATMENT MASK The Beauty You Deserve 24k  pure gold anti-aging collagen hyaluronic acid 30pair 6.1fl.oz181g,6.1 fluid ounce,107
"extract maximum weight recommendation: ea MOPCKAR BOAA 'Hud CalSource Har weifa Energi Ca1000 BIOTIN 23 r/n DIANT 10,000MCG Kvinne Itrate Al dara"" 5%Creme DR otrex600",10000.0 microgram,108
extract width: 100 cm 50 cm 76 cm,100.0 centimetre,109
extract maximum weight recommendation: max.load 25kg,25 kilogram,110
extract width: 5cm 137cm,137.0 centimetre,111
extract maximum weight recommendation: STURDY BU LD 120 KG Weight Capacity: 120kg Steel Legs for high stability,120 kilogram,112
"extract volume: iger Zubereitungs- hinweis: Nehmen Sie pro Tasse (0,25 l) einen leicht gehauften Teeloffel oder pro L uhl, trocken und gut verschlossen lagern.Zutaten: 100% Sideritis Scardica aus kontrolliert biologisch em Anbau. Mindestens haltbar bis: 01.02.2025 | Lot Nr.: 461082023.  Sideritis Scardica is also ation: Use one slightly heaping teaspoon per cup (0.25 l) or four teaspoons of organic Sideritis Scar se store cool, dry, and well sealed. Ingredients: 100% Organic Sideritis Scardica. Best before date:  01/02/2025 | Lot No.: 461082023. Sideritis Scardica est egalement connu sous le n  une cuillere a cafe legerement bombee par tasse (0,25 l) ou quatre cuilleres a cafe de the Sideritis n endroit frais, sec et bien ferme. Ingredients : 100% Sideritis Scardica bio. A consommer de prefere nce avant : 01/02/2025 | N de lot : 461082023. FLUGELSCHWINGERO Tee und Superfoods Inh. Christi ne Elisabeth Irnstetter, Bremer Str. 9, 90451 Nurnberg, Deutschland / Germany www.fluegelschwin ger.com PL-EKO-07 FR Nicht-EU-Landwirtschaft/ EMBALLAGE  Non-EU agr iculture / Agriculture hors UE X001B99D2X 300g BIO Sideritis Scardica... Bergtee, geschnitten ( 300g). Neu",0.25 litre,113
extract volume: ion Salts prolyte ORS THE ORALREHYDRATION THERAPY 200 ml of ORS supplies electrolytes in the followin g concentrations ELECTROLYTES mOsmol/Litre Sodium 75 Potassium 20 .. Chloride 65 Citrate 10 .. Dextro se 75 ... Total Osmolarity 245,200.0 millilitre,114
"extract weight: Sin No produce. dependencia azucares LMR-CH-20210415-06 Sin azucares (0,0 g/comprimido, 0,1 g/100 g)",100.0 gram,115
extract height: 1.5 in 6.7in 3.6in IIIII,3.6 inch,116
"extract volume: 31 FRONTLINE pipettes of0.5mL SPOTON CAT 10%w/SP0TONSOLUTION Fipronit 50mg KILLS FLEAS,TICKS&LICE F",0.5 millilitre,117
extract width: 1.37inch 3.14inch SMCH 3.93inch,3.14 inch,118
extract width: 150mm CHARGER 75mm 3.0A M12-18C DCEXW MADE IN CHINA 175mm,150.0 millimetre,119
extract depth: Product Size 90cm/35.43in XFRATE 7cm/2.76in,90.0 centimetre,120
extract volume: peau ge tissu ssu Masque visage tissu par Glam Up 0.740z/21g 0.740z fo EXTRASERUM,0.74 ounce,121
"extract width: ETIC BOARD INCLUDED MAGPANEL"" ATTRACTS ANY MAGNET 24x48 KID'SROOM LARGE SIZES & COLORS",48.0 inch,122
"extract weight: WEIGHT: 165mm 0.9kg 111 /810 WORKPRO PH14 SL4+PH1 0425 SL5+PH2 PK36 SL6+PH3 185mm 3PCS Cr-V BITS 3"" ( 76mm) 5"" (127mm) 6"" (150mm) 12V 3PCSHSS STEELDRILL Lithium-lon WORKPRO",0.9 kilogram,123
extract width: No.1 SK 24 32 24 12 . A . c. . . <> 0460 2115- TEL0794-860200,0.05 millimetre,124
extract depth: 5.1 INCH 3INCH 7.3INCH,7.3 inch,125
extract maximum weight recommendation: CHOOSE YOUR PERFECT FIT 59 x 59 x 18 cm Fit for small pets up to 12 kg 75 x 75 x 18 cm  Fit for medium pets up to 16 kg 92 x 92 x 18 cm Fit for large pets up to 25 kg 115 x 115 x 18  cm Fit for jumbo pets up to 45 kg,45 kilogram,126
"extract voltage: TANMET INT'L BUSINESS LTD 9 Pantygraigwen Road, Pontypridd, UK REP Mid Glamor gan, CF37 2RR,UK tanmetbiz@outlook.com EUBRIDGE ADVISORY GMBH  X001QGK50F Virginia Str.2 EC Wall ight Indoor, Wall.table Up and Down Light . REP 35510 Butzbach,Germany DS126SC Wall Iamp-Black-UK# eubridge@outlook.com SPECIF ICATIONS ENERG ENERG  Feallive Product Model:DS126SC Feallive DS126SC DS126SC Rated Power:4W A A USB  Input:5V-1A B B C Color Temperatures: D Main light:2700K-400 0K-5500K; E Night light:2700K F G G G G Power Source: Battery Powered Package  Size: 125*105*68mm 5 kWh/1000h kWh/1000h Color: White Black Wood 2019/2015 2021 No.1095 M",5.0 volt,127
extract width: JUST. BEGINNER INTERMEDIATE ADVANCED SIDE-TO-SIDE 9.7in SIDE-TO-SIDE (15.2in) SIDE-TO-SIDE(23.5in,15.2 inch,128
extract voltage: 48v 16Ah Removeable Li-jon Battery 2 Charging Methods Direct Charging Direct Charging  Removable Charging H 5-6 Hours 35-80Miles IP65 12Months Full Charge Riding Range Waterproof Warrany,48.0 volt,129
"extract wattage: 3.9"" 3.9"" 4.3"" 13"" 4.3"" 0.5"" Recommended Bulbs Material Aluminum Alloy & Glas s E26 Base, A19, T45 Power Source Corded-Electric Bulbs NOT Included C ertification ETL Listed Voltage 110-120V Socket E26 Wattage 60WMAX",60.0 watt,130
extract height: 12cm/4.7in 2.5cm/1in 13cm/5.1in,2.5 centimetre,131
extract width: Product Size 3.1in /8cm 3in/7.5cm 5.1in/13cm,13.0 centimetre,132
extract width: 3mm/0.11in 11.5cm/4.52in 7.4cm/2.9in 0.5cm 3.2cm/1.25in 2cm/0.78in,3.2 centimetre,133
extract wattage: Indispensable 5A USB C to C Cable For the charging current over 3 in Support Max Support Max Support Max Emark Clip 5A Current 100w Power 480Mbps Sync Support 100w20v/ 5A power through Stronger Copper Wire Flexible Bend ing: 180Distortion,100.0 watt,134
extract maximum weight recommendation: CE Electric Motorized Power FitnessRunningMachine 14Km KG Speed 110Kgs Max. User weight PTM405,110 kilogram,135
extract depth: Size: Length: 58.00 cm/22.83 in Width:34.5 cm/13.58 in High: 0.2 cm/0.07 in,58.0 centimetre,136
extract wattage: IMPTS IMPTS Model:IP92002-W 250m 05 EG IMPTS IMPTS -86403768 Made in PRC IP92002-W IM PT5,92002.0 watt,137
extract depth: 35.5cm 40.5cm,40.5 centimetre,138
extract height: Lenght 176 mm Height 58 mm Width 116 mm,58.0 millimetre,139
"extract height: 28cm/11"" 23.5cm/9.4"" 11cm/4.4""",11.0 centimetre,140
extract voltage: 06 80 70 40 30 Actual graph of light emitted during Hoogalite te ght can impair the body's preparation. for sleep. 1600-1700K Dimmablo Studies hqve shown thqt the blu  is impairing people's sleep The Hoogalite blocks 99.94% of light from the blue part of the spectrum.,110.0 volt,141
extract depth: 70.9in/180cm HAPPY 47.2in/120cm 18 TH BIRTHDAY Backdrop Ribbon X1 Backdrop Ribbon,180.0 centimetre,142
"extract wattage: GDSTIME BRUSHLESS EC FAN 8O25 800.5mm Dimension: 3.150.02inch FanSize:80x80x25mm/3.15x3.15x0.98in Pa rallel Hole Distance:71.5mm/2.81in Wire Length:300mm/11.81in Parameters: 3.150.02inch 77+0.5mm Beari ng Type:Dual Ball Bearing 800.5mm 3.030.02inch Rated Voltage:AC 110V-240V RatedPower:2.5W Ra ted Speed:2800 RPM Air Flow:43.6CFM 4.30.3mm 0.170.01inch Noise Level:31 dBA Life Expectancy: 67,000 0hrs at 25degree test 71.50.3mm 2.810.01inch 30010mm 0.980.02inch 250.5mm 11.810.39inch 150010mm/59. 060.39in",2.5 watt,143
extract wattage: 250W HUB MOTOR ourney Max Speed25 km/h,250.0 watt,144
"extract volume: How To USE Step1> Clean the face and keep. it fresh and clean Step 2> Apply the clay mask evenly. onto face all over o r on. targeted areas as needed. Step3> FACIAL MASK Oil 20g 4.0 Leave on for 10-15 minut  rinse clean with warm water For best results use 1-2 times a week Benefits : toning skin , controlli",4.0 ounce,145
extract height: 3.34 in / 8.5 cm 7.67 in / 19.5 cm,3.34 inch,146
extract width: 11.02in-12.99in The thickness does not exceed 3.93in,11.02 inch,147
"extract height: Giratorio 360 27.5cm Aco inoxidavel Frasco devidro Facil reabastecim ento Base rotativa de 360 10.3cm Facil de limpar 16Potes+ suporte 2,260g Capacidade de 5.2cm 18cm 80g",27.5 centimetre,148
extract volume: BEAUTY SHIELD PROLIXR VITAMIN S ERUM perfect skin 1.02OZ/30ml Detoxifying Sea Algae Mosk,1.02 ounce,149
extract depth: L13 3 400mm NEXT CONTROIERS 450mm 2mm,400.0 millimetre,150
extract weight: 0.3 INCH 0.5 INCH (6.7MM) (11.5 MM) 0.2 INCH (4.1MM) Net Weight:2.67G 925 SterlingSilver Yellow Par,2.67 gram,151
